Year,UNIT_MEASURE,ADMIN_AREA,agricultural_households_number,Value
2013,Number,republika_srpska,agricultural_households,140960
2013,Number,grad_banja_luka,agricultural_households,8832
2013,Number,berkovici,agricultural_households,450
2013,Number,grad_bijeljina,agricultural_households,10563
2013,Number,bileca,agricultural_households,1659
2013,Number,bratunac,agricultural_households,3166
2013,Number,brod,agricultural_households,1512
2013,Number,visegrad,agricultural_households,963
2013,Number,vlasenica,agricultural_households,1381
2013,Number,vukosavlje,agricultural_households,532
2013,Number,gacko,agricultural_households,986
2013,Number,grad_gradiska,agricultural_households,6402
2013,Number,grad_derventa,agricultural_households,3038
2013,Number,grad_doboj,agricultural_households,9221
2013,Number,donji_zabar,agricultural_households,617
2013,Number,grad_zvornik,agricultural_households,7120
2013,Number,istocna_ilidza,agricultural_households,1045
2013,Number,istocni_drvar,agricultural_households,11
2013,Number,istocni_mostar,agricultural_households,60
2013,Number,istocni_stari_grad,agricultural_households,262
2013,Number,istocno_novo_sarajevo,agricultural_households,505
2013,Number,jezero,agricultural_households,99
2013,Number,kalinovik,agricultural_households,365
2013,Number,knezevo,agricultural_households,1920
2013,Number,kozarska_dubica,agricultural_households,2974
2013,Number,kostajnica,agricultural_households,746
2013,Number,kotor_varos,agricultural_households,1826
2013,Number,krupa_na_uni,agricultural_households,453
2013,Number,kupres,agricultural_households,85
2013,Number,laktasi,agricultural_households,3882
2013,Number,lopare,agricultural_households,2416
2013,Number,ljubinje,agricultural_households,598
2013,Number,milici,agricultural_households,1395
2013,Number,modrica,agricultural_households,2793
2013,Number,mrkonjic_grad,agricultural_households,2540
2013,Number,nevesinje,agricultural_households,2062
2013,Number,novi_grad,agricultural_households,3770
2013,Number,novo_gorazde,agricultural_households,431
2013,Number,osmaci,agricultural_households,1002
2013,Number,ostra_luka,agricultural_households,572
2013,Number,pale,agricultural_households,1527
2013,Number,pelagicevo,agricultural_households,869
2013,Number,petrovac,agricultural_households,54
2013,Number,petrovo,agricultural_households,1388
2013,Number,grad_prijedor,agricultural_households,8920
2013,Number,prnjavor,agricultural_households,6121
2013,Number,ribnik,agricultural_households,1579
2013,Number,rogatica,agricultural_households,1481
2013,Number,rudo,agricultural_households,1466
2013,Number,sokolac,agricultural_households,1586
2013,Number,srbac,agricultural_households,2852
2013,Number,srebrenica,agricultural_households,1905
2013,Number,teslic,agricultural_households,7062
2013,Number,grad_trebinje,agricultural_households,2485
2013,Number,trnovo,agricultural_households,341
2013,Number,ugljevik,agricultural_households,2419
2013,Number,foca,agricultural_households,1965
2013,Number,han_pijesak,agricultural_households,448
2013,Number,cajnice,agricultural_households,884
2013,Number,celinac,agricultural_households,2592
2013,Number,samac,agricultural_households,2223
2013,Number,sekovici,agricultural_households,890
2013,Number,sipovo,agricultural_households,1649
2013,Number,republika_srpska,agricultural_selling,25335
2013,Number,grad_banja_luka,agricultural_selling,593
2013,Number,berkovici,agricultural_selling,234
2013,Number,grad_bijeljina,agricultural_selling,4977
2013,Number,bileca,agricultural_selling,213
2013,Number,bratunac,agricultural_selling,704
2013,Number,brod,agricultural_selling,134
2013,Number,visegrad,agricultural_selling,97
2013,Number,vlasenica,agricultural_selling,241
2013,Number,vukosavlje,agricultural_selling,74
2013,Number,gacko,agricultural_selling,437
2013,Number,grad_gradiska,agricultural_selling,2285
2013,Number,grad_derventa,agricultural_selling,455
2013,Number,grad_doboj,agricultural_selling,515
2013,Number,donji_zabar,agricultural_selling,219
2013,Number,grad_zvornik,agricultural_selling,770
2013,Number,istocna_ilidza,agricultural_selling,51
2013,Number,istocni_drvar,agricultural_selling,1
2013,Number,istocni_mostar,agricultural_selling,9
2013,Number,istocni_stari_grad,agricultural_selling,35
2013,Number,istocno_novo_sarajevo,agricultural_selling,43
2013,Number,jezero,agricultural_selling,9
2013,Number,kalinovik,agricultural_selling,93
2013,Number,knezevo,agricultural_selling,305
2013,Number,kozarska_dubica,agricultural_selling,860
2013,Number,kostajnica,agricultural_selling,193
2013,Number,kotor_varos,agricultural_selling,139
2013,Number,krupa_na_uni,agricultural_selling,288
2013,Number,kupres,agricultural_selling,72
2013,Number,laktasi,agricultural_selling,662
2013,Number,lopare,agricultural_selling,668
2013,Number,ljubinje,agricultural_selling,269
2013,Number,milici,agricultural_selling,185
2013,Number,modrica,agricultural_selling,420
2013,Number,mrkonjic_grad,agricultural_selling,257
2013,Number,nevesinje,agricultural_selling,702
2013,Number,novi_grad,agricultural_selling,499
2013,Number,novo_gorazde,agricultural_selling,87
2013,Number,osmaci,agricultural_selling,159
2013,Number,ostra_luka,agricultural_selling,57
2013,Number,pale,agricultural_selling,99
2013,Number,pelagicevo,agricultural_selling,256
2013,Number,petrovac,agricultural_selling,12
2013,Number,petrovo,agricultural_selling,61
2013,Number,grad_prijedor,agricultural_selling,798
2013,Number,prnjavor,agricultural_selling,986
2013,Number,ribnik,agricultural_selling,93
2013,Number,rogatica,agricultural_selling,265
2013,Number,rudo,agricultural_selling,244
2013,Number,sokolac,agricultural_selling,292
2013,Number,srbac,agricultural_selling,594
2013,Number,srebrenica,agricultural_selling,469
2013,Number,teslic,agricultural_selling,576
2013,Number,grad_trebinje,agricultural_selling,327
2013,Number,trnovo,agricultural_selling,17
2013,Number,ugljevik,agricultural_selling,632
2013,Number,foca,agricultural_selling,262
2013,Number,han_pijesak,agricultural_selling,75
2013,Number,cajnice,agricultural_selling,131
2013,Number,celinac,agricultural_selling,191
2013,Number,samac,agricultural_selling,616
2013,Number,sekovici,agricultural_selling,81
2013,Number,sipovo,agricultural_selling,247
