Year,UNIT_MEASURE,Teritory,Sex,Vital statistics,Value
2013,Number,REPUBLIKA SRPSKA,F,Total,518243
2013,Number,BANJA LUKA,F,Total,80633
2013,Number,BERKOVICI,F,Total,839
2013,Number,BIJELJINA,F,Total,45729
2013,Number,BILECA,F,Total,4500
2013,Number,BRATUNAC,F,Total,8127
2013,Number,BROD,F,Total,6996
2013,Number,VISEGRAD,F,Total,4691
2013,Number,VLASENICA,F,Total,4738
2013,Number,VUKOSAVLJE,F,Total,1849
2013,Number,GACKO,F,Total,3646
2013,Number,GRADISKA,F,Total,22005
2013,Number,DERVENTA,F,Total,11515
2013,Number,DOBOJ,F,Total,30598
2013,Number,DONJI ZABAR,F,Total,1561
2013,Number,ZVORNIK,F,Total,23313
2013,Number,ISTOCNA ILIDZA,F,Total,6538
2013,Number,ISTOCNI DRVAR,F,Total,22
2013,Number,ISTOCNI MOSTAR,F,Total,93
2013,Number,ISTOCNI STARI GRAD,F,Total,516
2013,Number,ISTOCNO NOVO SARAJEVO,F,Total,4659
2013,Number,JEZERO,F,Total,437
2013,Number,KALINOVIK,F,Total,898
2013,Number,KNEZEVO,F,Total,4079
2013,Number,KOZARSKA DUBICA,F,Total,9386
2013,Number,KOSTAJNICA,F,Total,2538
2013,Number,KOTOR VAROS,F,Total,7914
2013,Number,KRUPA NA UNI,F,Total,628
2013,Number,KUPRES,F,Total,127
2013,Number,LAKTASI,F,Total,14682
2013,Number,LOPARE,F,Total,6471
2013,Number,LJUBINJE,F,Total,1475
2013,Number,MILICI,F,Total,4489
2013,Number,MODRICA,F,Total,10856
2013,Number,MRKONJIC GRAD,F,Total,7153
2013,Number,NEVESINJE,F,Total,5385
2013,Number,NOVI GRAD,F,Total,11191
2013,Number,NOVO GORAZDE,F,Total,1263
2013,Number,OSMACI,F,Total,2367
2013,Number,OSTRA LUKA,F,Total,1131
2013,Number,PALE,F,Total,9317
2013,Number,PELAGICEVO,F,Total,1978
2013,Number,PETROVAC,F,Total,160
2013,Number,PETROVO,F,Total,2902
2013,Number,PRIJEDOR,F,Total,36570
2013,Number,PRNJAVOR,F,Total,15254
2013,Number,RIBNIK,F,Total,2560
2013,Number,ROGATICA,F,Total,4567
2013,Number,RUDO,F,Total,3315
2013,Number,SOKOLAC,F,Total,5142
2013,Number,SRBAC,F,Total,7462
2013,Number,SREBRENICA,F,Total,5260
2013,Number,TESLIC,F,Total,16491
2013,Number,TREBINJE,F,Total,12436
2013,Number,TRNOVO,F,Total,936
2013,Number,UGLJEVIK,F,Total,6451
2013,Number,FOCA,F,Total,7700
2013,Number,HAN PIJESAK,F,Total,1631
2013,Number,CAJNICE,F,Total,2025
2013,Number,CELINAC,F,Total,6555
2013,Number,SAMAC,F,Total,7431
2013,Number,SEKOVICI,F,Total,2815
2013,Number,SIPOVO,F,Total,4247
2013,Number,REPUBLIKA SRPSKA,F,Did not give birth,131752
2013,Number,BANJA LUKA,F,Did not give birth,22958
2013,Number,BERKOVICI,F,Did not give birth,198
2013,Number,BIJELJINA,F,Did not give birth,11452
2013,Number,BILECA,F,Did not give birth,1303
2013,Number,BRATUNAC,F,Did not give birth,2067
