Year,UNIT_MEASURE,Administrative area,Sex,Type of disability,Value
2013,Number,Republika Srpska,Both sexes,Total,102262
2013,Number,Republika Srpska,M,Total,46720
2013,Number,Republika Srpska,F,Total,55542
2013,Number,City of Banja Luka,Both sexes,Total,13450
2013,Number,City of Banja Luka,M,Total,6251
2013,Number,City of Banja Luka,F,Total,7199
2013,Number,Berkovici,Both sexes,Total,165
2013,Number,Berkovici,M,Total,75
2013,Number,Berkovici,F,Total,90
2013,Number,City of Bijeljina,Both sexes,Total,8763
2013,Number,City of Bijeljina,M,Total,3967
2013,Number,City of Bijeljina,F,Total,4796
2013,Number,Bileca,Both sexes,Total,813
2013,Number,Bileca,M,Total,339
2013,Number,Bileca,F,Total,474
2013,Number,Bratunac,Both sexes,Total,1534
2013,Number,Bratunac,M,Total,688
2013,Number,Bratunac,F,Total,846
2013,Number,Brod,Both sexes,Total,1420
2013,Number,Brod,M,Total,658
2013,Number,Brod,F,Total,762
2013,Number,Visegrad,Both sexes,Total,1097
2013,Number,Visegrad,M,Total,422
2013,Number,Visegrad,F,Total,675
2013,Number,Vlasenica,Both sexes,Total,786
2013,Number,Vlasenica,M,Total,393
2013,Number,Vlasenica,F,Total,393
2013,Number,Vukosavlje,Both sexes,Total,472
2013,Number,Vukosavlje,M,Total,226
2013,Number,Vukosavlje,F,Total,246
2013,Number,Gacko,Both sexes,Total,597
2013,Number,Gacko,M,Total,261
2013,Number,Gacko,F,Total,336
2013,Number,City of Gradiska,Both sexes,Total,4427
2013,Number,City of Gradiska,M,Total,1965
2013,Number,City of Gradiska,F,Total,2462
2013,Number,City of Derventa,Both sexes,Total,2529
2013,Number,City of Derventa,M,Total,1153
2013,Number,City of Derventa,F,Total,1376
2013,Number,City of Doboj,Both sexes,Total,7404
2013,Number,City of Doboj,M,Total,3292
2013,Number,City of Doboj,F,Total,4112
2013,Number,Donji Zabar,Both sexes,Total,313
2013,Number,Donji Zabar,M,Total,146
2013,Number,Donji Zabar,F,Total,167
2013,Number,City of Zvornik,Both sexes,Total,4328
2013,Number,City of Zvornik,M,Total,2027
2013,Number,City of Zvornik,F,Total,2301
2013,Number,East Ilidza,Both sexes,Total,1025
2013,Number,East Ilidza,M,Total,464
2013,Number,East Ilidza,F,Total,561
2013,Number,East Drvar,Both sexes,Total,9
2013,Number,East Drvar,M,Total,5
2013,Number,East Drvar,F,Total,4
2013,Number,East Mostar,Both sexes,Total,14
2013,Number,East Mostar,M,Total,4
2013,Number,East Mostar,F,Total,10
2013,Number,East Stari Grad,Both sexes,Total,100
2013,Number,East Stari Grad,M,Total,42
2013,Number,East Stari Grad,F,Total,58
2013,Number,East Novo Sarajevo,Both sexes,Total,611
2013,Number,East Novo Sarajevo,M,Total,276
2013,Number,East Novo Sarajevo,F,Total,335
2013,Number,Jezero,Both sexes,Total,80
2013,Number,Jezero,M,Total,37
2013,Number,Jezero,F,Total,43
2013,Number,Kalinovik,Both sexes,Total,203
2013,Number,Kalinovik,M,Total,88
2013,Number,Kalinovik,F,Total,115
2013,Number,Knezevo,Both sexes,Total,933
2013,Number,Knezevo,M,Total,449
2013,Number,Knezevo,F,Total,484
2013,Number,Kozarska Dubica,Both sexes,Total,2078
2013,Number,Kozarska Dubica,M,Total,919
2013,Number,Kozarska Dubica,F,Total,1159
2013,Number,Kostajnica,Both sexes,Total,475
2013,Number,Kostajnica,M,Total,216
2013,Number,Kostajnica,F,Total,259
2013,Number,Kotor Varos,Both sexes,Total,1857
2013,Number,Kotor Varos,M,Total,865
2013,Number,Kotor Varos,F,Total,992
2013,Number,Krupa Na Uni,Both sexes,Total,204
2013,Number,Krupa Na Uni,M,Total,93
2013,Number,Krupa Na Uni,F,Total,111
2013,Number,Kupres,Both sexes,Total,49
2013,Number,Kupres,M,Total,27
2013,Number,Kupres,F,Total,22
2013,Number,Laktasi,Both sexes,Total,2445
2013,Number,Laktasi,M,Total,1196
2013,Number,Laktasi,F,Total,1249
2013,Number,Lopare,Both sexes,Total,1612
2013,Number,Lopare,M,Total,791
2013,Number,Lopare,F,Total,821
2013,Number,Ljubinje,Both sexes,Total,197
2013,Number,Ljubinje,M,Total,84
2013,Number,Ljubinje,F,Total,113
2013,Number,Milici,Both sexes,Total,860
2013,Number,Milici,M,Total,392
2013,Number,Milici,F,Total,468
2013,Number,Modrica,Both sexes,Total,2458
2013,Number,Modrica,M,Total,1119
2013,Number,Modrica,F,Total,1339
2013,Number,Mrkonjic Grad,Both sexes,Total,1300
2013,Number,Mrkonjic Grad,M,Total,602
2013,Number,Mrkonjic Grad,F,Total,698
2013,Number,Nevesinje,Both sexes,Total,876
2013,Number,Nevesinje,M,Total,379
2013,Number,Nevesinje,F,Total,497
2013,Number,Novi Grad,Both sexes,Total,2687
2013,Number,Novi Grad,M,Total,1179
2013,Number,Novi Grad,F,Total,1508
2013,Number,Novo Gorazde,Both sexes,Total,206
2013,Number,Novo Gorazde,M,Total,101
2013,Number,Novo Gorazde,F,Total,105
2013,Number,Osmaci,Both sexes,Total,513
2013,Number,Osmaci,M,Total,234
2013,Number,Osmaci,F,Total,279
2013,Number,Ostra Luka,Both sexes,Total,394
2013,Number,Ostra Luka,M,Total,205
2013,Number,Ostra Luka,F,Total,189
2013,Number,Pale,Both sexes,Total,1289
2013,Number,Pale,M,Total,594
2013,Number,Pale,F,Total,695
2013,Number,Pelagicevo,Both sexes,Total,688
2013,Number,Pelagicevo,M,Total,299
2013,Number,Pelagicevo,F,Total,389
2013,Number,Petrovac,Both sexes,Total,16
2013,Number,Petrovac,M,Total,6
2013,Number,Petrovac,F,Total,10
2013,Number,Petrovo,Both sexes,Total,944
2013,Number,Petrovo,M,Total,399
2013,Number,Petrovo,F,Total,545
2013,Number,City of Prijedor,Both sexes,Total,7173
