Year,UNIT_MEASURE,Naučna oblast,Pol,Value
2017,Broj,Ukupno,Ukupno,130
2017,Broj,"Prirodne nauke, matematika i statistika",Ukupno,10
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,4
2017,Broj,Informacione i komunikacione tehnologije,Ukupno,12
2017,Broj,Zdravstvo i socijalna zaštita,Ukupno,25
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,9
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,50
2017,Broj,"Poslovanje, administracija i pravo",Ukupno,10
2017,Broj,Obrazovanje,Ukupno,0
2017,Broj,Umjetnost i humanističke nauke,Ukupno,10
2017,Broj,Usluge,Ukupno,0
2017,Broj,Ukupno,M,70
2017,Broj,"Prirodne nauke, matematika i statistika",M,6
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,3
2017,Broj,Informacione i komunikacione tehnologije,M,9
2017,Broj,Zdravstvo i socijalna zaštita,M,6
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,4
2017,Broj,"Društvene nauke, novinarstvo i informisanje",M,29
2017,Broj,"Poslovanje, administracija i pravo",M,4
2017,Broj,Obrazovanje,M,0
2017,Broj,Umjetnost i humanističke nauke,M,9
2017,Broj,Usluge,M,0
2017,Broj,Ukupno,Ž,60
2017,Broj,"Prirodne nauke, matematika i statistika",Ž,4
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,1
2017,Broj,Informacione i komunikacione tehnologije,Ž,3
2017,Broj,Zdravstvo i socijalna zaštita,Ž,19
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,5
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,21
2017,Broj,"Poslovanje, administracija i pravo",Ž,6
2017,Broj,Obrazovanje,Ž,0
2017,Broj,Umjetnost i humanističke nauke,Ž,1
2017,Broj,Usluge,Ž,0
2018,Broj,Ukupno,Ukupno,119
2018,Broj,"Prirodne nauke, matematika i statistika",Ukupno,8
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,3
2018,Broj,Informacione i komunikacione tehnologije,Ukupno,11
2018,Broj,Zdravstvo i socijalna zaštita,Ukupno,37
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,9
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,16
2018,Broj,"Poslovanje, administracija i pravo",Ukupno,10
2018,Broj,Obrazovanje,Ukupno,3
2018,Broj,Umjetnost i humanističke nauke,Ukupno,22
2018,Broj,Usluge,Ukupno,0
2018,Broj,Ukupno,M,56
2018,Broj,"Prirodne nauke, matematika i statistika",M,3
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,2
2018,Broj,Informacione i komunikacione tehnologije,M,11
2018,Broj,Zdravstvo i socijalna zaštita,M,9
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,6
2018,Broj,"Društvene nauke, novinarstvo i informisanje",M,8
2018,Broj,"Poslovanje, administracija i pravo",M,4
2018,Broj,Obrazovanje,M,3
2018,Broj,Umjetnost i humanističke nauke,M,10
2018,Broj,Usluge,M,0
2018,Broj,Ukupno,Ž,63
2018,Broj,"Prirodne nauke, matematika i statistika",Ž,5
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,1
2018,Broj,Informacione i komunikacione tehnologije,Ž,0
2018,Broj,Zdravstvo i socijalna zaštita,Ž,28
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,3
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,8
2018,Broj,"Poslovanje, administracija i pravo",Ž,6
2018,Broj,Obrazovanje,Ž,0
2018,Broj,Umjetnost i humanističke nauke,Ž,12
2018,Broj,Usluge,Ž,0
2019,Broj,Ukupno,Ukupno,165
2019,Broj,"Prirodne nauke, matematika i statistika",Ukupno,10
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,0
2019,Broj,Informacione i komunikacione tehnologije,Ukupno,0
2019,Broj,Zdravstvo i socijalna zaštita,Ukupno,65
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,9
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,58
2019,Broj,"Poslovanje, administracija i pravo",Ukupno,5
2019,Broj,Obrazovanje,Ukupno,8
2019,Broj,Umjetnost i humanističke nauke,Ukupno,10
2019,Broj,Usluge,Ukupno,0
2019,Broj,Ukupno,M,71
2019,Broj,"Prirodne nauke, matematika i statistika",M,6
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,0
2019,Broj,Informacione i komunikacione tehnologije,M,0
2019,Broj,Zdravstvo i socijalna zaštita,M,19
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,6
2019,Broj,"Društvene nauke, novinarstvo i informisanje",M,28
2019,Broj,"Poslovanje, administracija i pravo",M,2
2019,Broj,Obrazovanje,M,5
2019,Broj,Umjetnost i humanističke nauke,M,5
2019,Broj,Usluge,M,0
2019,Broj,Ukupno,Ž,94
2019,Broj,"Prirodne nauke, matematika i statistika",Ž,4
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,0
2019,Broj,Informacione i komunikacione tehnologije,Ž,0
2019,Broj,Zdravstvo i socijalna zaštita,Ž,46
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,3
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,30
2019,Broj,"Poslovanje, administracija i pravo",Ž,3
2019,Broj,Obrazovanje,Ž,3
2019,Broj,Umjetnost i humanističke nauke,Ž,5
2019,Broj,Usluge,Ž,0
2020,Broj,Ukupno,Ukupno,184
2020,Broj,"Prirodne nauke, matematika i statistika",Ukupno,12
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,2
2020,Broj,Informacione i komunikacione tehnologije,Ukupno,5
2020,Broj,Zdravstvo i socijalna zaštita,Ukupno,96
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,14
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,22
2020,Broj,"Poslovanje, administracija i pravo",Ukupno,1
2020,Broj,Obrazovanje,Ukupno,8
2020,Broj,Umjetnost i humanističke nauke,Ukupno,24
2020,Broj,Usluge,Ukupno,0
2020,Broj,Ukupno,M,79
2020,Broj,"Prirodne nauke, matematika i statistika",M,8
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1
2020,Broj,Informacione i komunikacione tehnologije,M,3
2020,Broj,Zdravstvo i socijalna zaštita,M,35
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,9
2020,Broj,"Društvene nauke, novinarstvo i informisanje",M,12
2020,Broj,"Poslovanje, administracija i pravo",M,0
2020,Broj,Obrazovanje,M,8
2020,Broj,Umjetnost i humanističke nauke,M,3
2020,Broj,Usluge,M,0
2020,Broj,Ukupno,Ž,105
2020,Broj,"Prirodne nauke, matematika i statistika",Ž,4
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,1
2020,Broj,Informacione i komunikacione tehnologije,Ž,2
2020,Broj,Zdravstvo i socijalna zaštita,Ž,61
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,5
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,10
2020,Broj,"Poslovanje, administracija i pravo",Ž,1
2020,Broj,Obrazovanje,Ž,0
2020,Broj,Umjetnost i humanističke nauke,Ž,21
2020,Broj,Usluge,Ž,0
