Year,UNIT_MEASURE,Teritory,Пол,Religion,Value
2013,Број,REPUBLIKA SRPSKA,Оба пола,_T,1170342
2013,Број,REPUBLIKA SRPSKA,M,_T,571812
2013,Број,REPUBLIKA SRPSKA,Ж,_T,598530
2013,Број,BANJA LUKA,Оба пола,_T,180053
2013,Број,BANJA LUKA,M,_T,86510
2013,Број,BANJA LUKA,Ж,_T,93543
2013,Број,BERKOVICI,Оба пола,_T,2041
2013,Број,BERKOVICI,M,_T,1032
2013,Број,BERKOVICI,Ж,_T,1009
2013,Број,BIJELJINA,Оба пола,_T,103874
2013,Број,BIJELJINA,M,_T,50760
2013,Број,BIJELJINA,Ж,_T,53114
2013,Број,BILECA,Оба пола,_T,10607
2013,Број,BILECA,M,_T,5346
2013,Број,BILECA,Ж,_T,5261
2013,Број,BRATUNAC,Оба пола,_T,18651
2013,Број,BRATUNAC,M,_T,9210
2013,Број,BRATUNAC,Ж,_T,9441
2013,Број,BROD,Оба пола,_T,15720
2013,Број,BROD,M,_T,7670
2013,Број,BROD,Ж,_T,8050
2013,Број,VISEGRAD,Оба пола,_T,10118
2013,Број,VISEGRAD,M,_T,4834
2013,Број,VISEGRAD,Ж,_T,5284
2013,Број,VLASENICA,Оба пола,_T,10657
2013,Број,VLASENICA,M,_T,5193
2013,Број,VLASENICA,Ж,_T,5464
2013,Број,VUKOSAVLJE,Оба пола,_T,4363
2013,Број,VUKOSAVLJE,M,_T,2185
2013,Број,VUKOSAVLJE,Ж,_T,2178
2013,Број,GACKO,Оба пола,_T,8710
2013,Број,GACKO,M,_T,4423
2013,Број,GACKO,Ж,_T,4287
2013,Број,GRADISKA,Оба пола,_T,49196
2013,Број,GRADISKA,M,_T,23944
2013,Број,GRADISKA,Ж,_T,25252
2013,Број,DERVENTA,Оба пола,_T,25922
2013,Број,DERVENTA,M,_T,12629
2013,Број,DERVENTA,Ж,_T,13293
2013,Број,DOBOJ,Оба пола,_T,68514
2013,Број,DOBOJ,M,_T,33222
2013,Број,DOBOJ,Ж,_T,35292
2013,Број,DONJI ZABAR,Оба пола,_T,3669
2013,Број,DONJI ZABAR,M,_T,1853
2013,Број,DONJI ZABAR,Ж,_T,1816
2013,Број,ZVORNIK,Оба пола,_T,54407
2013,Број,ZVORNIK,M,_T,26803
2013,Број,ZVORNIK,Ж,_T,27604
2013,Број,ISTOCNA ILIDZA,Оба пола,_T,14437
2013,Број,ISTOCNA ILIDZA,M,_T,6905
2013,Број,ISTOCNA ILIDZA,Ж,_T,7532
2013,Број,ISTOCNI DRVAR,Оба пола,_T,66
2013,Број,ISTOCNI DRVAR,M,_T,44
2013,Број,ISTOCNI DRVAR,Ж,_T,22
2013,Број,ISTOCNI MOSTAR,Оба пола,_T,244
2013,Број,ISTOCNI MOSTAR,M,_T,138
2013,Број,ISTOCNI MOSTAR,Ж,_T,106
2013,Број,ISTOCNI STARI GRAD,Оба пола,_T,1116
2013,Број,ISTOCNI STARI GRAD,M,_T,552
2013,Број,ISTOCNI STARI GRAD,Ж,_T,564
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,_T,10401
2013,Број,ISTOCNO NOVO SARAJEVO,M,_T,4936
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,_T,5465
2013,Број,JEZERO,Оба пола,_T,1039
2013,Број,JEZERO,M,_T,534
2013,Број,JEZERO,Ж,_T,505
2013,Број,KALINOVIK,Оба пола,_T,1962
2013,Број,KALINOVIK,M,_T,950
2013,Број,KALINOVIK,Ж,_T,1012
2013,Број,KNEZEVO,Оба пола,_T,9368
2013,Број,KNEZEVO,M,_T,4632
2013,Број,KNEZEVO,Ж,_T,4736
2013,Број,KOZARSKA DUBICA,Оба пола,_T,20681
2013,Број,KOZARSKA DUBICA,M,_T,10094
2013,Број,KOZARSKA DUBICA,Ж,_T,10587
2013,Број,KOSTAJNICA,Оба пола,_T,5645
2013,Број,KOSTAJNICA,M,_T,2780
2013,Број,KOSTAJNICA,Ж,_T,2865
2013,Број,KOTOR VAROS,Оба пола,_T,18361
2013,Број,KOTOR VAROS,M,_T,9007
2013,Број,KOTOR VAROS,Ж,_T,9354
2013,Број,KRUPA NA UNI,Оба пола,_T,1560
2013,Број,KRUPA NA UNI,M,_T,841
2013,Број,KRUPA NA UNI,Ж,_T,719
2013,Број,KUPRES,Оба пола,_T,293
2013,Број,KUPRES,M,_T,157
2013,Број,KUPRES,Ж,_T,136
2013,Број,LAKTASI,Оба пола,_T,34210
2013,Број,LAKTASI,M,_T,16905
2013,Број,LAKTASI,Ж,_T,17305
2013,Број,LOPARE,Оба пола,_T,14689
2013,Број,LOPARE,M,_T,7377
2013,Број,LOPARE,Ж,_T,7312
2013,Број,LJUBINJE,Оба пола,_T,3319
2013,Број,LJUBINJE,M,_T,1633
2013,Број,LJUBINJE,Ж,_T,1686
2013,Број,MILICI,Оба пола,_T,10445
2013,Број,MILICI,M,_T,5252
2013,Број,MILICI,Ж,_T,5193
2013,Број,MODRICA,Оба пола,_T,24490
2013,Број,MODRICA,M,_T,11969
2013,Број,MODRICA,Ж,_T,12521
2013,Број,MRKONJIC GRAD,Оба пола,_T,15926
2013,Број,MRKONJIC GRAD,M,_T,7660
2013,Број,MRKONJIC GRAD,Ж,_T,8266
2013,Број,NEVESINJE,Оба пола,_T,12542
2013,Број,NEVESINJE,M,_T,6236
2013,Број,NEVESINJE,Ж,_T,6306
2013,Број,NOVI GRAD,Оба пола,_T,25240
2013,Број,NOVI GRAD,M,_T,12580
2013,Број,NOVI GRAD,Ж,_T,12660
2013,Број,NOVO GORAZDE,Оба пола,_T,2915
2013,Број,NOVO GORAZDE,M,_T,1500
2013,Број,NOVO GORAZDE,Ж,_T,1415
2013,Број,OSMACI,Оба пола,_T,5546
2013,Број,OSMACI,M,_T,2779
2013,Број,OSMACI,Ж,_T,2767
2013,Број,OSTRA LUKA,Оба пола,_T,2705
2013,Број,OSTRA LUKA,M,_T,1386
