Year,UNIT_MEASURE,Административно подручје,Пол,Disabilities,Value
2013,Број,Република Српска,Оба пола,Укупно,1170342
2013,Број,Република Српска,M,Укупно,571812
2013,Број,Република Српска,Ж,Укупно,598530
2013,Број,Град Бања Лука,Оба пола,Укупно,180053
2013,Број,Град Бања Лука,M,Укупно,86510
2013,Број,Град Бања Лука,Ж,Укупно,93543
2013,Број,Берковићи,Оба пола,Укупно,2041
2013,Број,Берковићи,M,Укупно,1032
2013,Број,Берковићи,Ж,Укупно,1009
2013,Број,Град Бијељина,Оба пола,Укупно,103874
2013,Број,Град Бијељина,M,Укупно,50760
2013,Број,Град Бијељина,Ж,Укупно,53114
2013,Број,Билећа,Оба пола,Укупно,10607
2013,Број,Билећа,M,Укупно,5346
2013,Број,Билећа,Ж,Укупно,5261
2013,Број,Братунац,Оба пола,Укупно,18651
2013,Број,Братунац,M,Укупно,9210
2013,Број,Братунац,Ж,Укупно,9441
2013,Број,Брод,Оба пола,Укупно,15720
2013,Број,Брод,M,Укупно,7670
2013,Број,Брод,Ж,Укупно,8050
2013,Број,Вишеград,Оба пола,Укупно,10118
2013,Број,Вишеград,M,Укупно,4834
2013,Број,Вишеград,Ж,Укупно,5284
2013,Број,Власеница,Оба пола,Укупно,10657
2013,Број,Власеница,M,Укупно,5193
2013,Број,Власеница,Ж,Укупно,5464
2013,Број,Вукосавље,Оба пола,Укупно,4363
2013,Број,Вукосавље,M,Укупно,2185
2013,Број,Вукосавље,Ж,Укупно,2178
2013,Број,Гацко,Оба пола,Укупно,8710
2013,Број,Гацко,M,Укупно,4423
2013,Број,Гацко,Ж,Укупно,4287
2013,Број,Град Градишка,Оба пола,Укупно,49196
2013,Број,Град Градишка,M,Укупно,23944
2013,Број,Град Градишка,Ж,Укупно,25252
2013,Број,Град Дервента,Оба пола,Укупно,25922
2013,Број,Град Дервента,M,Укупно,12629
2013,Број,Град Дервента,Ж,Укупно,13293
2013,Број,Град Добој,Оба пола,Укупно,68514
2013,Број,Град Добој,M,Укупно,33222
2013,Број,Град Добој,Ж,Укупно,35292
2013,Број,Доњи Жабар,Оба пола,Укупно,3669
